e_abs,graph_hessian,closed_form_hessian,invalid_exact_branch_proxy,stationarity_residual,status,exact_branch_applicability
0.0,-24.0,-24.0,-24.0,0.0,strict_local_max,accepted_exact_branch
0.049999999999999996,-23.98,-23.98,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.09999999999999999,-23.92,-23.92,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.15,-23.82,-23.82,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.19999999999999998,-23.68,-23.68,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.24999999999999997,-23.5,-23.5,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.3,-23.28,-23.28,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.35,-23.02,-23.02,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.39999999999999997,-22.72,-22.72,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.44999999999999996,-22.380000000000003,-22.38,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.49999999999999994,-22.0,-22.0,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.5499999999999999,-21.58,-21.580000000000002,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.6,-21.12,-21.12,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.6499999999999999,-20.62,-20.62,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.7,-20.08,-20.080000000000002,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.7499999999999999,-19.5,-19.5,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.7999999999999999,-18.880000000000003,-18.880000000000003,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.85,-18.22,-18.22,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.8999999999999999,-17.520000000000003,-17.520000000000003,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.95,-16.78,-16.78,-24.0,0.0,strict_local_max,rejected_non_exact_branch
0.9999999999999999,-16.0,-16.0,-24.0,0.0,strict_local_max,rejected_non_exact_branch
1.0499999999999998,-15.180000000000003,-15.180000000000003,-24.0,0.0,strict_local_max,rejected_non_exact_branch
1.0999999999999999,-14.32,-14.320000000000002,-24.0,0.0,strict_local_max,rejected_non_exact_branch
1.15,-13.420000000000002,-13.420000000000002,-24.0,0.0,strict_local_max,rejected_non_exact_branch
1.2,-12.48,-12.48,-24.0,0.0,strict_local_max,rejected_non_exact_branch
1.25,-11.5,-11.5,-24.0,0.0,strict_local_max,rejected_non_exact_branch
1.2999999999999998,-10.480000000000004,-10.480000000000004,-24.0,0.0,strict_local_max,rejected_non_exact_branch
1.3499999999999999,-9.420000000000002,-9.420000000000003,-24.0,0.0,strict_local_max,rejected_non_exact_branch
1.4,-8.32,-8.320000000000002,-24.0,0.0,strict_local_max,rejected_non_exact_branch
1.45,-7.18,-7.18,-24.0,0.0,strict_local_max,rejected_non_exact_branch
1.4999999999999998,-6.0000000000000036,-6.0000000000000036,-24.0,0.0,strict_local_max,rejected_non_exact_branch
1.5499999999999998,-4.780000000000005,-4.780000000000005,-24.0,0.0,strict_local_max,rejected_non_exact_branch
1.5999999999999999,-3.520000000000003,-3.520000000000003,-24.0,0.0,strict_local_max,rejected_non_exact_branch
1.65,-2.219999999999999,-2.2200000000000024,-24.0,0.0,strict_local_max,rejected_non_exact_branch
1.7,-0.8800000000000026,-0.8800000000000026,-24.0,0.0,strict_local_max,rejected_non_exact_branch
1.7499999999999998,0.4999999999999929,0.4999999999999929,-24.0,0.0,strict_local_min,rejected_non_exact_branch
1.7999999999999998,1.9199999999999946,1.9199999999999946,-24.0,0.0,strict_local_min,rejected_non_exact_branch
1.8499999999999999,3.3799999999999955,3.3799999999999955,-24.0,0.0,strict_local_min,rejected_non_exact_branch
1.9,4.8799999999999955,4.879999999999999,-24.0,0.0,strict_local_min,rejected_non_exact_branch
1.9499999999999997,6.4199999999999875,6.419999999999991,-24.0,0.0,strict_local_min,rejected_non_exact_branch
1.9999999999999998,7.999999999999993,7.999999999999993,-24.0,0.0,strict_local_min,rejected_non_exact_branch
2.05,9.619999999999997,9.619999999999997,-24.0,0.0,strict_local_min,rejected_non_exact_branch
2.0999999999999996,11.279999999999987,11.279999999999987,-24.0,0.0,strict_local_min,rejected_non_exact_branch
2.15,12.979999999999997,12.979999999999997,-24.0,0.0,strict_local_min,rejected_non_exact_branch
2.1999999999999997,14.719999999999992,14.719999999999992,-24.0,0.0,strict_local_min,rejected_non_exact_branch
2.25,16.5,16.5,-24.0,0.0,strict_local_min,rejected_non_exact_branch
2.3,18.319999999999993,18.319999999999993,-24.0,0.0,strict_local_min,rejected_non_exact_branch
2.3499999999999996,20.179999999999986,20.179999999999986,-24.0,0.0,strict_local_min,rejected_non_exact_branch
2.4,22.08,22.08,-24.0,0.0,strict_local_min,rejected_non_exact_branch
